,CLASS_NAME,num,x,y,win29advancedB1,win29advancedB2,win29advancedB3,win29advancedB4,win29advancedB5,win29advancedB6,win29advancedB7,win29advancedB8,win29advancedB9,win29advancedB10,win29higherB1,win29higherB2,win29higherB3,win29higherB4,win29higherB5,win29higherB6,win29higherB7,win29higherB8,win29higherB9,win29higherB10,win29simpleB1,win29simpleB2,win29simpleB3,win29simpleB4,win29simpleB5,win29simpleB6,win29simpleB7,win29simpleB8
0,baigurang,253,374967.428021,2381818.59221,52.911415,63.079548,-3.9233507e-19,105.82283,228.0554,5.000673,2.2530384,9.533584,-0.53788745,0.9751766,0.8623021,3.4201953,31.420195,433.215,0.00039215156,2744.2751,0.00034894713,2270.0186,0.0010307359,12212.142,0.04512775,7.109407,0.012804167,0.40735102,24.262783,92.7972,82020.99,2434288.0
1,baigurang,257,375119.519645,2381822.04944,43.819263,27.610617,-1.1312125e-18,87.63853,89.71714,5.01092,2.2335827,7.9474297,-0.72495383,0.9893208,0.8962542,1.5385675,50.32507,553.7383,0.00050889724,2067.2659,0.0004544271,1864.1881,0.0007855068,3154.5,0.008393411,7.645546,0.022624832,0.3252449,20.725327,881.01514,38384.395,2244087.2
2,baigurang,3836,373366.350393,2382041.28532,48.663494,85.18997,-1.0385683e-18,97.32699,297.2403,5.1048994,2.4132802,17.513563,-0.61077195,0.9841707,0.86262083,2.2685888,36.89985,462.478,0.00047758338,2311.73,0.00042444997,1900.814,0.0008712568,6851.9863,0.029267717,7.4833055,0.008740149,0.36588255,43.51962,2896.9185,167289.7,2597442.0
3,baigurang,3837,373370.279464,2382031.08561,49.696194,83.9404,-6.278632e-20,99.39239,292.11237,5.0070515,2.398832,17.634537,-0.5970555,0.980997,0.87039876,2.4730353,34.473034,466.45148,0.00046357987,2369.402,0.0004161901,1962.1519,0.000890064,7872.3223,0.038821205,7.293433,0.0088157635,0.37630668,43.649227,2253.1748,151180.56,2339715.2
4,baigurang,3838,373362.394865,2382023.2407,47.73662,60.06678,-1.1131072e-18,95.47324,201.86403,5.1258864,2.4327207,14.94304,-0.6511612,0.98880005,0.89076084,1.7631205,42.083687,531.278,0.00046376896,2307.3247,0.00041811564,2008.0245,0.00072941114,4809.4893,0.011978266,7.7395763,0.011326227,0.30406827,38.40309,2775.8992,111244.33,3032988.2
5,baigurang,3840,373349.377339,2382009.22106,47.982162,61.212524,3.4516593e-19,95.964325,207.11882,5.1010747,2.4497635,14.45114,-0.652329,0.98950213,0.9028389,1.6960784,43.434174,556.34735,0.00046119667,2323.1147,0.00042236937,2043.7186,0.0006985747,4645.7256,0.014105426,7.6836624,0.0113016255,0.2924462,37.731274,2791.6536,114557.28,2793817.5
6,baigurang,3841,373339.245452,2382013.29565,45.515457,37.498276,6.5729757e-19,91.030914,121.04304,4.933954,2.3761554,10.757607,-0.72393924,0.99161017,0.92569536,1.4010624,53.347942,620.65204,0.0004885275,2144.4436,0.00045321614,1973.2112,0.0006670145,3167.2217,0.007726773,7.69648,0.016373591,0.2671615,28.95006,2037.4514,74425.06,2431895.5
7,baigurang,3842,373331.7445,2382005.56451,46.009514,44.288853,-4.421512e-19,92.01903,144.50618,5.020162,2.4198554,12.146697,-0.6892263,0.99156845,0.9294801,1.4619492,47.881176,624.7704,0.0004848233,2180.2603,0.00045251608,2008.7451,0.0006680029,3528.9412,0.00754085,7.870066,0.014256541,0.26571667,32.649227,2313.436,88569.664,2888436.8
8,baigurang,3844,373310.905875,2382009.30837,42.834126,18.447515,1.4619789e-18,85.66825,49.95534,4.4162965,2.3083231,8.635705,-0.8832825,0.9922969,0.939416,1.2914507,66.7772,658.6451,0.00053111697,1949.4612,0.0004978773,1837.9149,0.0006920709,2482.0999,0.00991685,7.347002,0.019188797,0.2585216,23.83472,605.62463,15247.165,1614011.0
9,baigurang,3846,373303.726392,2381964.31986,48.68906,65.09059,-2.0091622e-18,97.37812,224.26843,5.0781045,2.442578,13.749111,-0.6314717,0.98710126,0.9022333,1.8445078,40.06134,547.3709,0.00045482008,2360.2954,0.00041772056,2065.8633,0.0007266479,5300.933,0.018423371,7.6577005,0.011103613,0.31064516,36.093937,2693.099,115518.14,2887226.8
10,baigurang,3847,373289.733874,2381948.23051,50.09572,70.96527,-2.236167e-19,100.19144,251.38666,5.078528,2.3935368,12.538114,-0.60020256,0.9845994,0.88356006,2.0459259,36.914074,503.35852,0.0004347151,2490.7852,0.00039334805,2118.584,0.00075711304,6243.2666,0.026140247,7.4643764,0.010867215,0.3350769,32.474434,1929.4904,111109.19,2602469.8
11,baigurang,3849,373230.817663,2381924.19108,46.346016,48.14543,0.0,92.69203,164.01811,4.8687673,2.312673,11.209936,-0.72081685,0.98828554,0.88448393,1.6216596,57.542896,526.4796,0.00047959806,2203.9395,0.00042843787,1911.6383,0.0007405874,3890.8003,0.011082582,7.3436713,0.014609093,0.31913555,28.563614,3001.9783,106725.234,2176731.2
12,baigurang,3851,373207.796221,2381883.71041,47.35434,55.54983,1.6805134e-18,94.70868,189.61905,4.9935317,2.395225,12.496668,-0.6721306,0.9878919,0.89286727,1.6025105,49.719666,542.8577,0.00046254596,2313.0278,0.00041861896,2014.5135,0.00070805836,4004.1018,0.010617421,7.5209966,0.012722765,0.29509255,32.58026,2850.7703,103808.83,2589993.8
13,baigurang,3852,373168.759518,2381844.82585,47.62069,78.17242,-5.319367e-19,95.24138,267.8383,5.111589,2.4378366,17.854935,-0.6890162,0.9869534,0.8836064,1.7136753,45.367523,519.5755,0.00048494688,2260.6682,0.00044225622,1894.529,0.0007227254,4689.1626,0.014388199,7.5033684,0.0091224685,0.30742753,44.851368,3466.9817,152419.25,2651886.8
14,baigurang,3853,373145.795579,2381831.73547,49.06718,79.41701,-2.15824e-18,98.13436,279.15555,5.0494437,2.4098136,15.268125,-0.64272666,0.98557657,0.8979204,2.2232013,41.096916,526.0925,0.0004638147,2357.0146,0.00042768454,2028.5581,0.00081973075,6905.191,0.024592064,7.4144526,0.009538637,0.34403944,38.512486,2847.3118,141374.55,2587099.2
15,baigurang,3855,373147.721749,2381855.63269,44.470272,37.47266,4.4858865e-18,88.940544,120.69563,4.6999803,2.353418,11.074629,-0.80347526,0.99096453,0.9265416,1.4063745,59.794155,622.2032,0.00051082054,2049.769,0.0004768686,1872.6556,0.0006901994,3089.049,0.00910812,7.449851,0.016290523,0.27571368,29.195005,2630.0837,98082.66,2035018.2
16,baigurang,3857,373128.882055,2381863.80198,44.64744,31.250853,1.2671613e-18,89.29488,97.922554,4.8627744,2.355399,9.749281,-0.7538027,0.9926461,0.9391573,1.2983139,53.775616,657.53436,0.00049570843,2126.7444,0.0004658709,1994.7214,0.0006367902,2808.9727,0.007113156,7.7704215,0.018134486,0.24422595,27.080856,1435.8717,46059.81,2319428.2
17,baigurang,3858,373100.975734,2381895.72468,43.768726,43.214645,-1.0452387e-18,87.46255,159.06429,4.8189664,2.3026428,8.133834,-0.80239177,0.9898004,0.91477734,1.5203804,55.95924,590.2745,0.0005340396,1983.5339,0.00049186876,1790.2534,0.0007612801,3385.8506,0.009084791,7.546665,0.017200748,0.285751,22.184305,3365.973,135103.55,2129084.8
18,baigurang,3859,373107.907831,2381911.75847,41.62366,13.278703,2.6623834e-18,83.24732,38.1814,4.2959127,2.161992,5.27694,-0.8776453,0.9912308,0.9177885,1.4032043,72.57276,604.0361,0.00055854325,1836.984,0.0005120692,1688.6935,0.00078655116,2562.6316,0.011624093,7.01555,0.032962035,0.28570944,14.933413,500.2379,15047.281,1315732.9
19,baigurang,3860,373117.882643,2381931.11542,41.037457,10.610369,-3.8647996e-18,82.07491,27.72685,4.0243564,2.1424272,5.2615314,-0.87557954,0.9896887,0.9219212,1.3922873,81.05053,613.2899,0.00057071843,1792.7554,0.0005256078,1656.8315,0.00079752575,2474.613,0.014837809,6.7092214,0.028895525,0.2933462,14.714625,331.22745,8388.933,1098761.2
20,baigurang,3861,373215.534417,2381846.67332,48.08145,59.37565,8.858906e-19,96.1629,203.52281,5.0630307,2.3643417,13.48485,-0.6444613,0.986331,0.8721719,1.7985507,43.765217,495.76813,0.00044959201,2395.916,0.00040002912,2022.1624,0.00075623405,4768.5347,0.011629748,7.4965096,0.012022733,0.32331464,33.979786,2624.2395,100927.39,2797643.5
21,baigurang,3862,373213.053943,2381836.15611,47.124256,53.207508,-1.1699643e-19,94.24851,181.4971,4.95189,2.3219748,12.406319,-0.67453885,0.98693,0.8905246,1.6798308,49.9591,534.2835,0.00046060732,2323.3582,0.0004168368,2014.2566,0.0007298171,4274.9575,0.011134189,7.4138927,0.013260517,0.31169143,31.332937,2855.7734,101918.84,2435624.5
22,baigurang,3863,373222.975838,2381841.21627,46.843044,49.150158,1.8528846e-20,93.68609,170.47934,4.890576,2.2962453,10.157286,-0.6644948,0.985855,0.8947051,1.6456583,52.134453,543.93,0.0004612762,2314.2688,0.00041785056,2026.4434,0.0007282941,4083.2437,0.011305266,7.326905,0.014939333,0.31330425,26.121284,2774.3657,95840.37,2305471.5
23,baigurang,3864,373221.977034,2381831.1687,45.599285,39.600426,-2.190533e-18,91.19857,135.84999,4.6730366,2.2312024,8.767348,-0.6937935,0.98622125,0.8994352,1.5809128,61.569847,556.74,0.00047918432,2205.6929,0.0004343398,1955.861,0.00073698245,3664.7358,0.012536743,7.140355,0.018061902,0.31513342,22.551723,2662.8032,89382.34,1823679.0
