,CLASS_NAME,num,x,y,win11advancedB1,win11advancedB2,win11advancedB3,win11advancedB4,win11advancedB5,win11advancedB6,win11advancedB7,win11advancedB8,win11advancedB9,win11advancedB10,win11higherB1,win11higherB2,win11higherB3,win11higherB4,win11higherB5,win11higherB6,win11higherB7,win11higherB8,win11higherB9,win11higherB10,win11simpleB1,win11simpleB2,win11simpleB3,win11simpleB4,win11simpleB5,win11simpleB6,win11simpleB7,win11simpleB8
0,baigurang,253,374967.428021,2381818.59221,46.859505,19.790178,-4.2012834e-19,93.71901,65.35906,4.627016,2.0709112,4.7123833,-0.40434897,0.94704413,0.9424342,1.9210526,8.087719,100.85965,0.00044022492,2363.7808,0.00041501102,2230.7544,0.00084364763,4492.2017,0.0122600915,6.659329,0.032910287,0.25753406,13.801653,465.36618,16419.244,2439900.0
1,baigurang,257,375119.519645,2381822.04944,42.066116,7.9377775,-8.402567e-19,84.13223,21.073423,3.5994446,2.0307665,3.8020627,-0.65991193,0.9681909,0.84485835,3.7961166,13.038835,74.30097,0.000536457,1906.3981,0.00045243432,1618.3835,0.0020587395,7068.262,0.025237348,5.750689,0.041247487,0.32369003,10.677686,204.64624,3638.0752,937512.0
2,baigurang,3836,373366.350393,2382041.28532,44.876034,44.637524,-1.6263033e-19,89.75207,161.2939,4.6850376,2.1427171,6.290486,-0.39177188,0.9279707,0.8954436,2.9722223,7.0555553,86.46296,0.0004940078,2178.7407,0.00044129955,1947.4331,0.0014204837,6957.213,0.012430845,6.6767125,0.018072406,0.28756657,17.256199,2614.9446,90989.016,2351774.5
3,baigurang,3837,373370.279464,2382031.08561,45.747932,58.733982,2.0193265e-18,91.495865,188.34915,4.300498,2.2103205,19.69594,-0.5604286,0.9608243,0.86567056,3.4571428,10.809524,79.01905,0.000501199,2111.2666,0.00043864464,1785.6515,0.0015772332,8582.152,0.022163786,6.105316,0.010273587,0.3801236,46.586777,4039.9373,147513.06,1433461.6
4,baigurang,3838,373362.394865,2382023.2407,46.086777,41.608173,-5.475221e-18,92.17355,125.54839,4.363888,2.3151581,16.258265,-0.5513006,0.9689273,0.896789,2.6513762,10.284404,87.642204,0.00047744313,2186.6697,0.00043181382,1926.8446,0.001207512,6343.8716,0.016084967,6.343976,0.012225932,0.2858878,40.884296,2676.949,94806.23,1662948.8
5,baigurang,3840,373349.377339,2382009.22106,47.07438,17.449013,1.7076184e-18,94.14876,46.30845,4.4332104,2.2412221,7.93969,-0.5037946,0.96779644,0.9424342,1.9210526,8.754386,100.85965,0.00044139914,2326.8245,0.00041424442,2201.9807,0.0008758743,4324.3247,0.0112355715,6.821392,0.018738292,0.2129145,23.487604,205.84253,6018.9526,2315067.5
6,baigurang,3841,373339.245452,2382013.29565,44.210743,16.53823,3.3610267e-18,88.421486,47.59921,4.3362055,2.1975658,6.2790966,-0.54882693,0.97328687,0.896789,2.6513762,9.678899,87.642204,0.00050877105,2026.7064,0.00045567672,1822.9851,0.0013582802,5286.2476,0.011303873,6.7528005,0.026548535,0.2347347,18.553719,307.44843,6645.046,1742904.6
7,baigurang,3842,373331.7445,2382005.56451,44.49587,21.349157,4.6349643e-18,88.99174,62.71894,4.5006776,2.252456,8.033058,-0.49283618,0.9672359,0.9326599,2.3660715,9.321428,97.01786,0.0005064811,2050.5894,0.00047235112,1916.0754,0.0012016456,4761.598,0.01116727,6.8101444,0.021962726,0.25173017,22.677687,487.89386,12008.211,1914872.1
8,baigurang,3844,373310.905875,2382009.30837,41.173553,4.449218,-3.550762e-18,82.34711,8.342326,3.471369,1.9901828,3.3305786,-0.6945099,0.97411156,0.93195945,2.837838,15.7027025,96.02702,0.00056440785,1789.6577,0.00052508106,1671.7427,0.0016393173,4935.6846,0.024042074,5.7144346,-0.014046335,0.3336501,9.454545,7.1388974,210.5884,846504.06
9,baigurang,3846,373303.726392,2381964.31986,44.987602,30.97092,2.1548518e-18,89.975204,93.6936,4.4967074,2.2400088,11.652637,-0.51064503,0.95975137,0.9236073,2.5135136,11.540541,94.315315,0.00050151924,2060.8018,0.00046324913,1907.4241,0.0012642697,5078.6665,0.016084967,6.4387865,0.016551202,0.2739346,30.190083,1667.3574,54729.285,1595766.2
