,CLASS_NAME,num,x,y,win5advancedB1,win5advancedB2,win5advancedB3,win5advancedB4,win5advancedB5,win5advancedB6,win5advancedB7,win5advancedB8,win5advancedB9,win5advancedB10,win5higherB1,win5higherB2,win5higherB3,win5higherB4,win5higherB5,win5higherB6,win5higherB7,win5higherB8,win5higherB9,win5higherB10,win5simpleB1,win5simpleB2,win5simpleB3,win5simpleB4,win5simpleB5,win5simpleB6,win5simpleB7,win5simpleB8
0,baigurang,253,374967.428021,2381818.59221,47.16,8.2144,3.035766e-18,94.32,23.3376,3.6234653,1.9559505,3.2224,-0.29693887,0.85397303,0.75308645,21.0,2.0,12.5,0.00042132701,2416.45,0.00031981312,1813.2401,0.008643952,51276.45,0.0344,5.053661,0.05119422,0.3174876,9.52,-39.396866,1274.8789,1027283.5
1,baigurang,257,375119.519645,2381822.04944,41.3,4.57,3.6862874e-18,82.6,7.04,3.0448895,1.8593165,3.37,-0.44119745,0.912097,0.86531985,11.909091,3.2727273,16.818182,0.0005610231,1804.1364,0.00048458713,1566.4708,0.006752333,21055.045,0.0384,4.9336605,-0.050275557,0.19581412,11.24,19.152,174.0992,824150.7
2,baigurang,3836,373366.350393,2382041.28532,40.58,7.8836,4.3368087e-19,81.16,20.3744,3.5328786,1.8951693,3.7844,-0.3145668,0.86850005,0.91411704,7.9565215,2.9130435,19.347826,0.0005763279,1773.9131,0.00052523747,1629.5437,0.0047146515,13467.826,0.0312,5.163856,0.03706448,0.26582804,11.16,-27.383808,1576.5554,919525.56
3,baigurang,3837,373370.279464,2382031.08561,42.68,10.9376,6.938894e-18,85.36,21.2704,2.854694,1.9079757,9.1664,-0.43597192,0.88378954,0.91411704,7.9565215,5.0869565,19.347826,0.0005332255,1885.3914,0.000484539,1733.8937,0.0044768318,14156.695,0.0592,4.243856,-0.0025277708,0.3062355,22.48,343.5813,7296.6465,588770.8
4,baigurang,3838,373362.394865,2382023.2407,43.56,5.8864,2.6020852e-18,87.12,9.5456,3.3034651,1.7915093,5.4624,-0.22121449,0.7773248,0.91411704,7.9565215,2.9130435,19.347826,0.0004924804,2060.261,0.00044595666,1901.3773,0.004260906,14929.826,0.044,4.653661,-0.032138802,0.36881843,14.0,-5.238144,193.64937,982132.5
5,baigurang,3840,373349.377339,2382009.22106,48.24,12.5424,-6.938894e-18,96.48,28.2496,3.6536608,2.145294,7.1184,-0.20413698,0.7810444,0.95884776,4.3333335,2.25,22.083334,0.00040955227,2497.0833,0.00039373056,2390.0464,0.0016911107,11167.083,0.0328,5.083856,0.010059004,0.20570518,21.92,-16.310017,1839.8899,1484787.1
6,baigurang,3841,373339.245452,2382013.29565,43.36,8.2704,-3.035766e-18,86.72,17.0816,3.349275,2.047362,5.3104,-0.352262,0.8899865,0.86531985,11.909091,2.7272727,16.818182,0.00052351586,1933.8182,0.00045059752,1684.7048,0.0064298986,22112.0,0.028,5.243856,0.0039532445,0.23658662,16.0,89.210495,1238.4744,1127071.1
7,baigurang,3842,373331.7445,2382005.56451,43.1,4.13,6.8304737e-18,86.2,10.72,3.3532696,1.7604069,1.8596,-0.4871368,0.9292502,1.0,1.0,3.72,25.0,0.00053209794,1894.2,0.00053209794,1894.2,0.00053209794,1894.2,0.0312,5.083856,0.07211158,0.33189142,5.8,-1.44,253.1776,950395.4
8,baigurang,3844,373310.905875,2382009.30837,41.34,3.1444,-1.4094628e-18,82.68,5.8176,2.7574058,1.716553,2.0804,-0.56494963,0.932794,0.95884776,4.3333335,5.1666665,22.083334,0.00056560646,1776.7084,0.00054112566,1707.5314,0.002548553,7380.0415,0.0464,4.63327,-0.023828665,0.26695022,6.76,22.097664,192.86018,662089.44
9,baigurang,3846,373303.726392,2381964.31986,42.64,4.7504,-5.3125906e-18,85.28,11.7216,3.5892751,1.7560912,2.3856,-0.37394947,0.8897726,0.95884776,4.3333335,3.1666667,22.083334,0.0005316366,1900.7916,0.00051038025,1821.1208,0.0022533997,8354.125,0.04,4.9794707,0.049206115,0.29686388,7.28,-6.468096,406.6443,874292.5
10,baigurang,3847,373289.733874,2381948.23051,43.5,3.53,2.7647155e-18,87.0,5.28,2.8324876,1.8850707,2.9316,-0.45803002,0.90996665,0.91411704,7.9565215,3.6086957,19.347826,0.0004998295,2017.5652,0.00045338113,1858.7676,0.004262145,14880.174,0.0432,4.723856,-0.07142341,0.3045828,8.84,9.36,95.04,820240.75
11,baigurang,3849,373230.817663,2381924.19108,42.62,3.6756,-2.6020852e-18,85.24,5.2224,2.9532697,1.969051,3.1524,-0.58397156,0.9415292,0.91411704,7.9565215,3.6956522,19.347826,0.00052680634,1913.0869,0.00048237646,1746.7316,0.004125624,15387.869,0.0392,4.8136606,-0.07878588,0.31146532,9.48,8.706048,85.834015,728093.9
12,baigurang,3851,373207.796221,2381883.71041,42.08,3.7936,3.903128e-18,84.16,5.6544,3.1394706,1.9783388,3.4144,-0.41583788,0.89778656,0.86531985,11.909091,3.909091,16.818182,0.0005342623,1888.591,0.000461344,1639.4775,0.006440645,22066.773,0.0424,4.7638564,-0.06715121,0.36947927,9.52,0.321792,71.80488,816174.56
13,baigurang,3852,373168.759518,2381844.82585,42.94,41.8564,2.6020852e-18,85.88,84.8256,3.9434652,2.0073469,31.69,-0.2796583,0.85998994,1.0,1.0,3.24,25.0,0.00058464776,1733.0,0.00058464776,1733.0,0.00058464776,1733.0,0.0232,5.483856,0.0003175875,0.12490962,82.6,994.0189,24028.08,1372975.6
14,baigurang,3853,373145.795579,2381831.73547,43.22,10.5316,-9.540979e-18,86.44,19.3664,3.7034652,2.0895119,7.6164,-0.23131397,0.807581,0.91411704,7.9565215,3.0869565,19.347826,0.0005059025,2016.0,0.00046147263,1849.6447,0.00410472,15490.782,0.032,5.093661,-0.0076491283,0.18087983,22.76,19.671167,1142.7252,1190492.2
15,baigurang,3855,373147.721749,2381855.63269,40.52,1.8096,-4.3368087e-19,81.04,3.1584,2.7232156,1.6190935,1.2656,-0.61756784,0.93022877,0.91411704,7.9565215,5.521739,19.347826,0.0005724261,1755.174,0.0005225377,1607.2405,0.004613391,13737.782,0.0592,4.248884,-0.07035862,0.34635293,4.08,-1.299072,24.45753,489186.1
16,baigurang,3857,373128.882055,2381863.80198,43.84,15.8944,9.97466e-18,87.68,35.5776,3.4332697,2.1044571,9.6736,-0.13040996,0.6854566,1.0,1.0,2.28,25.0,0.0004885826,2121.84,0.0004885826,2121.84,0.0004885826,2121.84,0.0312,5.183465,0.0074986555,0.21099436,28.0,401.30725,10652.124,1310196.8
17,baigurang,3858,373100.975734,2381895.72468,42.42,7.7636,1.474515e-17,84.84,12.8544,3.2848895,2.1381712,6.0724,-0.18232906,0.7584301,0.95884776,4.3333335,3.25,22.083334,0.00052298297,1943.9166,0.0004972628,1878.073,0.0026063162,7277.25,0.0304,5.123856,-0.02217227,0.23242646,18.2,-34.54579,411.6756,1290492.5
18,baigurang,3859,373107.907831,2381911.75847,40.16,6.2944,6.938894e-18,80.32,8.5376,2.888884,2.009512,5.3616,-0.30059427,0.84990746,1.0,1.0,3.48,25.0,0.0006039129,1676.48,0.0006039129,1676.48,0.0006039129,1676.48,0.0368,4.9034653,-0.051126376,0.19129665,16.64,36.011135,429.12976,891985.1
19,baigurang,3860,373117.882643,2381931.11542,41.2,4.44,-1.7347235e-18,82.4,7.12,2.9648895,1.6085074,3.1296,-0.39305574,0.88375574,0.95884776,4.3333335,4.75,22.083334,0.0005541772,1820.875,0.00053192076,1744.7844,0.0023569535,7984.2085,0.0456,4.623465,-0.044639233,0.17063275,10.64,4.992,87.952,727868.75
20,baigurang,3861,373215.534417,2381846.67332,48.92,25.8336,6.071532e-18,97.84,79.4944,4.3238564,2.10246,8.0784,0.017940057,0.30527133,0.95884776,4.3333335,1.75,22.083334,0.00038798837,2694.9583,0.00037276934,2583.6826,0.00162073,11708.292,0.0264,5.4038563,0.020848252,0.1803634,23.84,320.7214,15067.131,2621065.2
21,baigurang,3862,373213.053943,2381836.15611,45.68,11.0576,3.469447e-18,91.36,32.2304,3.7034652,1.7514124,3.5664,-0.12246329,0.67610943,1.0,1.0,2.28,25.0,0.00044255113,2313.4,0.00044255113,2313.4,0.00044255113,2313.4,0.028,5.2936606,0.041364018,0.15672271,12.0,51.184513,2210.215,1771353.8
22,baigurang,3863,373222.975838,2381841.21627,42.6,2.08,-1.7889336e-18,85.2,3.84,2.6668193,1.6821661,1.6,-0.5020717,0.89606905,0.85848343,22.333334,4.142857,15.666667,0.0005223414,1926.4286,0.0004521606,1639.5557,0.011545272,43413.668,0.0776,4.04721,-0.03698225,0.43778697,4.48,7.728,60.6144,486375.8
23,baigurang,3864,373221.977034,2381831.1687,42.28,2.0416,1.0842022e-19,84.56,4.7264,2.8038561,1.6760205,1.2016,-0.44986674,0.8885421,0.81187534,16.238094,4.6190476,14.523809,0.00053439586,1880.0,0.00043700446,1515.5085,0.008423098,31403.809,0.0664,4.2430744,0.077156894,0.47435296,3.44,5.404032,70.34343,626053.1
24,baigurang,3865,373207.41963,2381828.75305,44.24,6.8224,-1.3010426e-18,88.48,18.8896,3.368884,1.9428501,3.0336,-0.39725772,0.88978535,0.81187534,16.238094,3.0,14.523809,0.00048109674,2111.5715,0.00038491725,1743.0823,0.008271635,31959.191,0.0424,4.7336607,0.056341004,0.38966388,8.4,99.88838,1461.9683,814594.5
25,baigurang,3866,373226.509355,2381855.67446,46.64,20.7504,-4.3368087e-18,93.28,54.0416,3.6234653,2.2193165,9.64,-0.079283215,0.57455385,0.95884776,4.3333335,2.0,22.083334,0.0004414857,2350.8333,0.00042203756,2263.7551,0.002016785,9404.167,0.0288,5.2536607,0.014562713,0.17057744,28.96,365.9831,7192.7114,1847434.0
26,baigurang,3867,373236.956008,2381866.56385,46.02,22.6996,-1.4311469e-17,92.04,66.1984,3.7532697,2.277948,8.5364,-0.10720316,0.6301885,0.95884776,4.3333335,2.5,22.083334,0.0004521512,2305.5833,0.00042989472,2229.493,0.0022549275,8468.917,0.0376,4.9736605,0.020182746,0.26892915,24.6,498.25613,12054.483,1487385.8
27,baigurang,3868,373243.07451,2381876.05579,43.72,6.8016,-4.3368087e-18,87.44,8.5664,2.9924877,1.7260484,6.76,-0.36191708,0.8788391,0.95884776,4.3333335,3.4166667,22.083334,0.00050039333,2039.375,0.000481764,1948.4696,0.0020093718,9402.708,0.044,4.829275,-0.054438047,0.2476856,18.64,30.087168,395.57837,846205.1
28,baigurang,3870,373248.432333,2381863.05811,42.26,4.8324,-3.469447e-18,84.52,9.6896,3.1434653,1.7710483,3.6964,-0.49502385,0.9177306,0.91411704,7.9565215,4.7391305,19.347826,0.00054143276,1854.6957,0.00049386534,1699.5481,0.004394394,14421.652,0.0456,4.653661,0.0005310017,0.3890114,9.64,27.743616,333.41977,698755.06
29,baigurang,3871,373258.684958,2381858.69248,42.22,2.5316,3.035766e-18,84.44,2.5664,2.4374058,1.8580186,2.6564,-0.45761147,0.887417,0.91411704,7.9565215,4.5652175,19.347826,0.00053182,1888.6522,0.00048641532,1726.1187,0.0042096004,15053.869,0.0664,4.1590796,-0.19478862,0.35941955,7.56,1.287168,11.875973,547099.75
30,baigurang,3872,373266.986277,2381869.73885,43.48,3.6896,-3.4152368e-18,86.96,10.5184,3.2390795,1.697851,1.4144,-0.38887492,0.8836935,0.90980935,17.727272,3.4545455,18.272728,0.0004979687,2025.1364,0.00045343008,1842.5004,0.00875835,35897.863,0.0496,4.663465,0.1153003,0.3918914,4.24,23.542273,345.86578,786446.5
31,baigurang,3873,373266.093306,2381883.19956,46.48,14.9696,-1.4094628e-17,92.96,29.5584,3.5434651,2.2672913,10.1424,-0.14101559,0.7024928,0.91411704,7.9565215,2.3043478,19.347826,0.0004416385,2334.739,0.0003962338,2172.2056,0.0041194186,15499.956,0.0296,5.163856,-0.0008496627,0.19429255,30.32,43.10707,2342.5735,1523027.1
32,baigurang,3874,373264.505803,2381897.28865,44.54,10.6484,-5.2041704e-18,89.08,23.0336,3.6536608,2.087362,6.7524,-0.31017676,0.8691383,0.95884776,4.3333335,2.75,22.083334,0.00047002983,2185.8333,0.0004487735,2106.1626,0.002191793,8639.167,0.028,5.243856,0.00765863,0.21797018,19.56,121.51142,1838.4718,1189599.6
33,baigurang,3876,373286.036315,2381908.69883,42.16,2.7344,-1.0842022e-18,84.32,2.3776,2.5582976,1.8244572,2.6416,-0.42838222,0.887799,0.91411704,7.9565215,4.7391305,19.347826,0.00054126605,1859.5217,0.00049369864,1704.3741,0.004394227,14426.479,0.0536,4.39908,-0.2067155,0.24919458,8.56,-1.275264,12.721055,701706.2
34,baigurang,3878,373278.564025,2381899.28317,42.22,2.6516,4.3368087e-18,84.44,4.3264,2.854694,1.7889684,2.0996,-0.4460124,0.88905406,0.86531985,11.909091,3.6363637,16.818182,0.0005321004,1891.2727,0.0004612923,1634.2582,0.006267553,22709.455,0.0616,4.284889,-0.069463976,0.33532542,6.28,3.523968,53.254787,564676.56
35,baigurang,3879,373191.985571,2381811.83159,45.34,27.3844,1.6479873e-17,90.68,52.3776,3.509275,2.1046097,20.8516,-0.18083401,0.7450592,1.0,1.0,3.32,25.0,0.0004513032,2337.36,0.0004513032,2337.36,0.0004513032,2337.36,0.0416,4.8838563,-0.0015943345,0.18049888,57.16,305.35526,6606.9834,1043772.7
36,baigurang,3881,373175.991477,2381799.32339,42.48,5.6896,-2.6020852e-18,84.96,7.3984,2.9134111,1.9622214,5.2464,-0.37675005,0.8960876,0.91411704,7.9565215,3.7826087,19.347826,0.0005196042,1950.0869,0.00047419948,1787.5535,0.004197384,15115.305,0.0304,5.123856,-0.06148609,0.23613305,15.36,7.567872,164.05983,964782.1
37,baigurang,3882,373187.011394,2381784.16273,40.68,3.6576,8.6736174e-19,81.36,4.2304,2.934694,1.9113415,3.8544,-0.3956945,0.8852019,0.86531985,11.909091,3.2727273,16.818182,0.00057670084,1748.6818,0.00049909495,1514.8322,0.006862777,20690.5,0.0464,4.63327,-0.11529344,0.41165358,10.4,-2.095488,39.11115,749512.75
38,baigurang,3883,373196.457038,2381791.3065,43.36,19.3104,0.0,86.72,43.8016,3.3648894,2.113953,12.8784,-0.15973006,0.7177187,1.0,1.0,2.28,25.0,0.00049020257,2152.44,0.00049020257,2152.44,0.00049020257,2152.44,0.044,4.8936605,0.006946792,0.31781557,33.44,413.0953,7487.6963,1120069.8
39,baigurang,3884,373199.989233,2381779.20178,40.86,3.6004,8.673617e-18,81.72,7.2416,2.8872104,1.8797774,2.4564,-0.46900293,0.91262907,1.0,1.0,4.2,25.0,0.0005698565,1771.4,0.0005698565,1771.4,0.0005698565,1771.4,0.048,4.7092752,0.0015737243,0.3568639,7.16,-11.935104,145.10008,679827.1
40,baigurang,3885,373208.918938,2381772.25646,40.28,2.0816,8.6736174e-19,80.56,3.9264,2.7328787,1.6174868,1.3536,-0.65754056,0.9430619,1.0,1.0,5.08,25.0,0.00058067456,1733.28,0.00058067456,1733.28,0.00058067456,1733.28,0.0536,4.448884,-0.027324809,0.33035293,4.4,-4.531968,60.18535,520260.7
