,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
0,baigurang,253,374967.428021,2381818.59221,6.796808,0.101306684,0.7434848,0.41949403,0.27444485,1.4452703,0.21819681,2.076015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,baigurang,257,375119.519645,2381822.04944,12.826873,0.21250296,0.85535413,0.6301751,0.4263394,3.4079647,0.41713265,3.1805918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,baigurang,3836,373366.350393,2382041.28532,14.130434,0.151,0.8678161,0.6009852,0.36199477,3.0123453,0.31720024,3.375619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,baigurang,3837,373370.279464,2382031.08561,10.833333,0.17699999,0.83098584,0.5963979,0.38351595,2.9553752,0.3573736,2.8585594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,baigurang,3838,373362.394865,2382023.2407,9.366667,0.15059999,0.8070739,0.5474988,0.3486335,2.4198782,0.3106948,2.5985608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,baigurang,3840,373349.377339,2382009.22106,7.9374995,0.1443,0.77622384,0.52658343,0.3346776,2.2246094,0.2969087,2.3205714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,baigurang,3841,373339.245452,2382013.29565,9.763441,0.163,0.8141858,0.58050483,0.36429697,2.7676349,0.33231667,2.671155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,baigurang,3842,373331.7445,2382005.56451,9.723005,0.1858,0.8134851,0.5992278,0.3887744,2.9903662,0.36917233,2.6638384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,baigurang,3844,373310.905875,2382009.30837,12.000001,0.1859,0.8461538,0.6133652,0.39661062,3.1728396,0.37378553,3.050851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,baigurang,3846,373303.726392,2381964.31986,7.7413797,0.1955,0.7712032,0.5843331,0.38829142,2.8115451,0.3776756,2.2801256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,baigurang,3847,373289.733874,2381948.23051,9.487804,0.1392,0.8093024,0.5322501,0.33564103,2.2757895,0.29122314,2.620916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,baigurang,3849,373230.817663,2381924.19108,9.5,0.17680001,0.8095239,0.57012314,0.3783171,2.6524956,0.35430297,2.623157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,baigurang,3851,373207.796221,2381883.71041,8.856522,0.1807,0.7970887,0.572973,0.379518,2.6835444,0.35884503,2.5024676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,baigurang,3852,373168.759518,2381844.82585,9.320261,0.1273,0.8062064,0.50342643,0.3203593,2.0276008,0.2698589,2.5899513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
