,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23
4004,mulan,1531,371111.165778,2385432.92588,9.931116,5.666161,0.8170361,0.6052985,55.42613,2.8387775,2.5437744,3.256059,2.9289882,3.369863,3.0340466,1.8103381,2.7013042,0.71885103,,0.9477289,,240.22556,713.90753,,0.3952774,-0.6052985,1.4223346
4005,mulan,1533,371210.286354,2385430.49203,9.561522,5.8833594,0.81063336,0.60827845,55.69824,2.925373,2.5369837,3.2132196,2.7963498,3.3976545,2.962536,1.7890534,2.6344364,0.7215789,,0.9403028,,248.8998,717.185,,0.39640674,-0.60827845,1.4189118
4006,mulan,1534,371106.165778,2385426.42588,10.182693,5.780153,0.8211522,0.6045455,56.007156,2.9315507,2.5210729,3.2737968,2.8275862,3.5229948,3.0507662,1.8241204,2.7459767,0.7188106,120.83074,0.9525038,,238.5976,722.9511,120.83074,0.39526066,-0.6045455,1.4256977
4007,mulan,1535,371277.665778,2385426.42588,7.5,5.125884,0.7647059,0.5678392,50.840004,2.4207253,2.0706978,2.7139897,2.3339534,2.953368,2.5488372,1.6410954,2.2294817,0.65828437,,0.8870267,3847.696,263.7927,653.2551,,0.36958334,-0.5678392,1.332545
4008,mulan,1536,371388.165778,2385426.42588,9.788136,6.034901,0.81461114,0.61764705,58.129227,3.2302969,2.7847986,3.4605937,2.9908426,3.580348,3.0979853,1.8022872,2.6756146,0.79724,,0.9449192,,254.45268,797.366,,0.426802,-0.61764705,1.4322582
4009,mulan,1537,371396.165778,2385426.42588,9.788136,6.034901,0.81461114,0.61764705,58.129227,3.2302969,2.7847986,3.4605937,2.9908426,3.580348,3.0979853,1.8022872,2.6756146,0.79724,,0.9449192,,254.45268,797.366,,0.426802,-0.61764705,1.4322582
4010,mulan,1538,371407.165778,2385425.92588,10.284425,5.7606463,0.8227646,0.6081892,58.17242,3.047105,2.7153153,3.1707556,2.8288288,3.3356233,2.9801803,1.8295612,2.7638552,0.7657351,,0.95437634,,257.94385,783.7448,,0.41436076,-0.6081892,1.4309537
4011,mulan,1539,370853.665778,2385425.42588,9.391863,5.791536,0.8075417,0.6262514,56.256165,2.9392033,2.7281747,3.3155136,3.0843253,3.5020964,3.2609127,1.7788409,2.6032248,0.74386644,1078.3395,0.9367175,,242.02696,742.33606,1078.3395,0.4055453,-0.6262514,1.4337931
4012,mulan,1540,371175.665778,2385423.42588,10.570438,6.350163,0.8271457,0.6296956,58.546494,3.1466668,2.5884616,3.5933332,2.975,3.8166666,3.1682692,1.8443352,2.8135648,0.7772873,,0.95945835,4497.087,233.63959,713.8144,,0.4189579,-0.6296956,1.4568412
4013,mulan,1542,370948.165778,2385421.92588,9.093682,5.5030675,0.8018562,0.6035344,54.57926,2.4722772,2.3982558,2.7782178,2.6976745,2.8564355,2.7742248,1.7601296,2.5475419,0.68489206,,0.9301211,4121.319,247.54736,689.52106,,0.38101843,-0.6035344,1.4053906
4014,mulan,1543,371098.665778,2385419.92588,10.016092,5.9215384,0.8184474,0.6178982,56.656425,2.9879782,2.5461614,3.3606558,2.877551,3.5814207,3.073858,1.8150685,2.7164679,0.7595362,,0.9493673,4272.117,235.59639,718.80554,,0.41187704,-0.6178982,1.4363457
4015,mulan,1545,371382.165778,2385419.92588,9.252545,6.2111616,0.8049265,0.6173015,57.11009,3.2620087,2.6316278,3.6812227,2.9888372,3.6910481,2.9972093,1.7702363,2.5773423,0.801653,,0.93368506,4455.0,250.00127,771.296,,0.42852062,-0.6173015,1.422228
4016,mulan,1547,371103.665778,2385416.42588,10.016092,5.9215384,0.8184474,0.6178982,56.656425,2.9879782,2.5461614,3.3606558,2.877551,3.5814207,3.073858,1.8150685,2.7164679,0.7595362,,0.9493673,4272.117,235.59639,718.80554,,0.41187704,-0.6178982,1.4363457
4017,mulan,1548,370863.665778,2385415.42588,9.156522,5.3753896,0.80308217,0.6094765,54.8923,2.9502118,2.648728,3.2552967,2.9305284,3.4152544,3.0782778,1.7641528,2.5593667,0.71329534,,0.93154347,,243.31708,736.6443,,0.39297006,-0.6094765,1.4125587
4018,mulan,1550,371402.165778,2385412.92588,10.751163,6.017804,0.82980406,0.616999,58.98617,2.8509197,2.6328766,3.0677638,2.8374429,3.2197483,2.9808218,1.8533416,2.8445659,0.75034946,,0.96254224,4563.2485,250.94359,768.94214,,0.4081742,-0.616999,1.446803
4019,mulan,1551,371395.665778,2385411.92588,9.91579,6.2778625,0.8167792,0.6232983,58.81377,3.0610766,2.589204,3.4296067,2.9149132,3.5973084,3.063129,1.8095198,2.698561,0.798558,,0.9474346,,256.60587,780.31506,,0.42731586,-0.6232983,1.4400774
4020,mulan,1552,371415.165778,2385411.42588,9.760246,5.794579,0.81413066,0.6342426,58.994987,2.6836538,2.5938087,3.1028845,3.0028143,3.2326922,3.1294558,1.8006976,2.6705775,0.7465542,,0.94436276,4680.276,256.02887,765.033,,0.40663677,-0.6342426,1.4483732
4021,mulan,1553,371196.665778,2385409.92588,10.038288,5.94373,0.8188125,0.6177859,57.322723,3.147715,2.7065527,3.4856536,3.008547,3.611052,3.1206079,1.8162973,2.720416,0.7229954,,0.9497915,4395.2725,252.59644,756.59125,,0.3969922,-0.6177859,1.4365983
4022,mulan,1555,371047.665778,2385405.92588,7.6165705,4.9526544,0.7678891,0.58500403,51.35106,2.616453,2.2705314,2.8568375,2.4879227,3.1452992,2.7487922,1.6510886,2.2540612,0.72189516,,0.8907195,,243.48419,665.1088,,0.3965375,-0.58500403,1.3528931
4023,mulan,1556,370880.165778,2385403.42588,8.539446,5.180451,0.79034424,0.57212955,52.864517,2.4954865,2.1972477,2.7392178,2.4201834,2.9538615,2.6165137,1.7226596,2.4410565,0.6547143,,0.9167665,,256.0512,697.7368,,0.3680312,-0.57212955,1.3624737
4024,mulan,1557,370945.665778,2385403.42588,9.398706,6.3355484,0.8076684,0.6169818,56.10244,2.7379239,2.5208132,3.1449127,2.9041626,3.2754369,3.0271056,1.779257,2.6044903,0.7456305,,0.93686426,,244.5472,718.77057,,0.40626192,-0.6169818,1.4246502
4025,mulan,1558,371404.165778,2385403.42588,11.352246,6.3543544,0.8380861,0.6319456,60.580353,2.857,2.5614035,3.253,2.9270544,3.44,3.099723,1.8815957,2.9455175,0.7486179,,0.97215015,4748.092,250.5658,771.2465,,0.4074733,-0.6319456,1.4700317
4026,mulan,1559,371412.665778,2385403.42588,9.760246,5.794579,0.81413066,0.6342426,58.994987,2.6836538,2.5938087,3.1028845,3.0028143,3.2326922,3.1294558,1.8006976,2.6705775,0.7465542,,0.94436276,4680.276,256.02887,765.033,,0.40663677,-0.6342426,1.4483732
4027,mulan,1560,371426.165778,2385402.92588,8.896687,5.342975,0.7979122,0.6121512,56.85369,2.7211351,2.46357,3.146771,2.859745,3.1780822,2.8888888,1.7472655,2.5101519,0.72360885,,0.9255489,4514.5576,266.2293,766.4895,,0.3972456,-0.6121512,1.4100634
4028,mulan,1562,371180.665778,2385399.42588,10.7173395,6.374582,0.8293128,0.63359886,58.247047,3.359375,2.8596838,3.7299106,3.187747,3.997768,3.4249012,1.8516674,2.8387873,0.7645326,,0.96197164,4438.027,243.36792,763.4303,,0.4138799,-0.63359886,1.4629116
4029,mulan,1563,371203.165778,2385398.42588,10.299066,6.06383,0.82299423,0.605244,57.232132,3.0751324,2.552583,3.3238096,2.7693727,3.515344,2.9363468,1.8303226,2.7664194,0.7479863,,0.9546417,,252.72382,749.1412,,0.40721744,-0.605244,1.4282382
4030,mulan,1564,370861.665778,2385396.42588,8.075849,5.24424,0.77963495,0.58016014,52.57191,2.9619977,2.3944187,3.121607,2.5311627,3.3952227,2.7655814,1.6882882,2.3487399,0.6843574,166.86234,0.9043447,,254.73883,725.4049,166.86234,0.38079095,-0.58016014,1.3597951
4031,mulan,1565,371400.165778,2385395.92588,10.695175,6.625978,0.8289893,0.6409825,60.53893,3.0132248,2.697282,3.4852493,3.1321461,3.7243133,3.3523898,1.8505961,2.834995,0.7507323,,0.96159875,4788.168,253.28226,794.19995,,0.408329,-0.6409825,1.4699718
4032,mulan,1566,370848.665778,2385394.92588,8.413654,5.921927,0.78754264,0.6013759,53.922237,3.0420258,2.5963566,3.2693965,2.7986577,3.5377154,3.0373921,1.7136385,2.4163132,0.77455413,,0.9135183,4115.3853,249.2062,729.4877,,0.41787395,-0.6013759,1.3889185
4033,mulan,1567,370935.165778,2385391.92588,9.253164,6.1278687,0.80493826,0.6107235,56.115227,2.8831437,2.5424528,3.2471561,2.8745284,3.442606,3.0528302,1.7702639,2.5774577,0.73765177,1080.6515,0.93369764,,244.3596,737.65326,1080.6515,0.40301284,-0.6107235,1.4156617
4034,mulan,1568,371042.165778,2385391.92588,7.0634327,4.9425287,0.75196666,0.5657568,49.435734,2.0753968,1.9523809,2.4027777,2.2666667,2.5714285,2.4285715,1.6014901,2.1352985,0.68039143,,0.87224907,,247.72643,628.5079,,0.3791006,-0.5657568,1.3177235
4035,mulan,1569,371196.165778,2385387.92588,10.035874,6.0745544,0.81877285,0.6103616,57.44262,2.942675,2.4293628,3.1772823,2.6334257,3.447983,2.8688827,1.8161662,2.719987,0.7290262,,0.94974566,,253.6625,735.3134,,0.3994778,-0.6103616,1.4291345
4036,mulan,1570,371478.165778,2385386.92588,8.180422,5.0666666,0.7821451,0.5929733,54.092556,2.5438597,2.3388429,2.8352826,2.613407,3.005848,2.7741046,1.6963217,2.369838,0.7339082,,0.907258,4173.3247,266.926,740.6951,,0.40148148,-0.5929733,1.3751184
4037,mulan,1571,371121.165778,2385384.92588,10.125285,5.9115853,0.8202293,0.6255257,57.322235,3.1629152,2.7929688,3.5584137,3.1533203,3.6827438,3.2666016,1.8210416,2.735841,0.73366886,,0.95143485,,245.64168,733.692,,0.40138343,-0.6255257,1.445755
4038,mulan,1572,371436.165778,2385384.92588,9.190381,5.5132866,0.8037365,0.6147887,57.313793,3.02004,2.6672761,3.252505,2.8793418,3.508016,3.1124315,1.7663279,2.5657177,0.7281687,,0.932305,4502.0234,262.65723,783.68726,,0.3991251,-0.6147887,1.4185252
4039,mulan,1573,371427.165778,2385383.42588,10.459695,5.656338,0.8254753,0.63633263,59.8683,3.1651652,2.8997188,3.4754755,3.190253,3.7027028,3.4029992,1.8387086,2.794413,0.7564758,,0.9575222,,259.42715,794.13477,,0.41064638,-0.63633263,1.461808
4040,mulan,1574,370845.665778,2385382.92588,8.527607,5.962069,0.7900837,0.60415465,53.92864,2.8578892,2.5879495,3.07628,2.7910593,3.3458724,3.041788,1.7218313,2.4387374,0.7948069,,0.91646564,4122.706,244.18854,720.61865,,0.42585188,-0.60415465,1.3942384
4041,mulan,1575,370951.665778,2385382.42588,8.783613,5.61646,0.7955766,0.59763086,54.29191,2.7603734,2.4425452,2.9616182,2.6267805,3.196058,2.8414054,1.7396326,2.4884655,0.7078901,,0.9228371,,247.25835,707.98334,,0.39071566,-0.59763086,1.3932074
4042,mulan,1576,370869.665778,2385381.92588,8.8268795,5.198157,0.7964766,0.5634456,52.313416,2.3477366,2.0073936,2.6491768,2.2781885,2.7736626,2.3900185,1.7425349,2.4967833,0.68992174,,0.92387855,3805.6125,245.09642,647.54944,,0.3831539,-0.5634456,1.3599222
4043,mulan,1577,371172.665778,2385381.42588,10.453238,6.1672077,0.82537687,0.61683977,57.04065,3.2726293,2.838335,3.53125,3.070668,3.6907327,3.21394,1.838345,2.7932925,0.8087464,,0.9574051,,243.79774,740.0425,,0.43127084,-0.61683977,1.4422166
4044,mulan,1579,370936.165778,2385380.42588,9.046316,5.784252,0.80092204,0.6033582,55.327427,2.869247,2.4797742,3.1579497,2.7394168,3.4529288,3.0047038,1.7570798,2.5385964,0.7922118,,0.9290384,,246.8376,734.6789,,0.4248366,-0.6033582,1.4042803
4045,mulan,1580,371399.165778,2385377.92588,11.370455,6.586039,0.8383244,0.65854466,61.848804,3.5975358,3.3475728,3.9383984,3.6699028,4.090349,3.8135922,1.8824258,2.948526,0.863028,,0.9724278,4916.792,242.35144,811.6396,,0.45182446,-0.65854466,1.4968691
4046,mulan,1583,371040.165778,2385373.92588,6.8114605,4.904558,0.7439659,0.5525595,48.363506,2.1311312,1.945386,2.4274275,2.2241054,2.5785785,2.36629,1.57692,2.0793097,0.63205147,,0.8629678,,250.28194,620.1415,,0.3580786,-0.5525595,1.2965255
4047,mulan,1584,371055.665778,2385370.92588,7.472381,4.95461,0.76393884,0.5767685,50.949623,2.365466,2.0170941,2.7150424,2.3304844,2.9067798,2.5023742,1.638696,2.223624,0.6108501,,0.8861372,3873.698,254.27711,634.86597,,0.34861022,-0.5767685,1.3407073
4048,mulan,1585,371107.665778,2385370.42588,9.760348,6.1568937,0.8141324,0.6205462,57.215614,2.9379525,2.6301239,3.36091,3.020019,3.507756,3.155386,1.8006842,2.6705961,0.75415057,,0.944363,,253.61232,746.348,,0.40970945,-0.6205462,1.4346787
4049,mulan,1586,371473.665778,2385369.92588,8.334678,5.191843,0.78574514,0.5829983,53.465324,2.6938775,2.3241506,2.942857,2.5482094,3.1265306,2.7134986,1.707853,2.4006639,0.69640714,,0.91143286,,263.3501,723.5108,,0.38589525,-0.5829983,1.3687434
4050,mulan,1587,371403.665778,2385369.42588,10.704596,6.3333335,0.82912695,0.6549391,60.63974,3.6643002,3.5088236,3.8093307,3.6490197,4.045639,3.877451,1.8510635,2.8366075,0.8845077,,0.9617585,4808.558,248.92896,812.7921,,0.45972198,-0.6549391,1.484066
4051,mulan,1588,371359.165778,2385368.92588,9.813164,6.404362,0.81504023,0.6160839,58.165558,3.4270387,2.7577415,3.7542918,3.0355191,3.832618,3.1020036,1.8037161,2.6801274,0.80038065,,0.945417,,259.67892,789.85504,,0.4280257,-0.6160839,1.4311242
4052,mulan,1589,371420.665778,2385367.92588,10.774835,6.2692914,0.83014625,0.6420522,60.629097,3.487755,3.1334586,3.737755,3.3637218,3.9142857,3.5263157,1.8545198,2.8486035,0.81152284,,0.96294075,,255.9317,830.6728,,0.43234324,-0.6420522,1.4721984
4053,mulan,1591,371543.165778,2385365.92588,6.512476,3.3825598,0.7337762,0.54613805,45.906483,2.4676723,2.2309237,2.674569,2.4236948,2.783405,2.5251005,1.5459478,2.0111995,0.6651899,,0.85114557,,235.35216,652.76276,,0.37257358,-0.54613805,1.2799143
