,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23
4141,mulan,1708,371208.665778,2385265.92588,10.917274,6.065625,0.8321764,0.62867516,58.24046,3.0642002,2.6510265,3.4591947,3.005865,3.5734494,3.1085043,1.8613912,2.8727899,0.7410073,,0.9652931,,238.45879,738.9766,,0.40438172,-0.62867516,1.4608516
4142,mulan,1709,371099.165778,2385260.92588,7.2431374,4.455405,0.7573739,0.54690117,49.106808,2.0,1.8336414,2.3258317,2.1414049,2.5078278,2.3133087,1.6182151,2.174486,0.7267305,,0.8785203,,252.025,616.89233,,0.39853302,-0.54690117,1.3042752
4143,mulan,1710,371251.665778,2385260.92588,10.007212,5.6709676,0.81830096,0.5934928,55.37304,3.0266523,2.556497,3.1705756,2.683616,3.3656716,2.8559322,1.814563,2.7148867,0.78514504,,0.9491959,,250.32912,758.8468,,0.42206147,-0.5934928,1.4117937
4144,mulan,1711,371262.665778,2385260.42588,8.739035,5.4706817,0.79464084,0.5876494,52.955524,3.184389,2.573913,3.3902714,2.7497585,3.5248868,2.8647344,1.7365758,2.4798696,0.7867577,80.4237,0.9217502,3953.0,251.14235,720.6681,80.4237,0.4226961,-0.5876494,1.3822902
4145,mulan,1712,371147.665778,2385258.92588,9.7669,5.9418416,0.8142455,0.6035209,55.338753,2.8969631,2.4681468,3.3264642,2.8503861,3.478308,2.9855213,1.8010381,2.67178,0.7742945,,0.9444921,4116.3096,245.708,704.3729,,0.41777086,-0.6035209,1.4177663
4146,mulan,1713,371174.165778,2385258.92588,10.181614,6.767318,0.8211349,0.6287661,57.987476,3.2924426,2.7864735,3.6944141,3.1410627,3.9309967,3.3497584,1.824086,2.7457867,0.8235354,,0.952486,4464.2974,241.43852,756.07623,,0.43695652,-0.6287661,1.4499011
4147,mulan,1714,371134.665778,2385255.92588,9.510638,5.6527777,0.8097166,0.5961119,53.99055,2.690275,2.4292731,3.1490486,2.8555992,3.2367864,2.9371316,1.7859977,2.6251104,0.77799934,,0.9392375,,241.32239,693.357,,0.4192399,-0.5961119,1.4058285
4148,mulan,1715,371267.665778,2385255.42588,8.739035,5.4706817,0.79464084,0.5876494,52.955524,3.184389,2.573913,3.3902714,2.7497585,3.5248868,2.8647344,1.7365758,2.4798696,0.7867577,80.4237,0.9217502,3953.0,251.14235,720.6681,80.4237,0.4226961,-0.5876494,1.3822902
4149,mulan,1716,371109.665778,2385251.42588,8.16383,5.2671876,0.7817506,0.5696461,51.304527,2.4266667,2.1758554,2.6933334,2.423004,2.8605127,2.5779467,1.6950262,2.3665013,0.7002826,,0.90679705,3754.7942,232.96132,636.34174,,0.38752687,-0.5696461,1.3513968
4150,mulan,1717,371163.665778,2385250.92588,9.929706,6.2675815,0.8170124,0.61497325,56.722084,3.104281,2.5814176,3.474204,2.9042146,3.658617,3.065134,1.8102751,2.7010517,0.77461827,,0.947703,4325.9814,249.67795,742.25146,,0.4178994,-0.61497325,1.4319857
4151,mulan,1718,371177.665778,2385249.42588,9.948198,6.4350085,0.81732154,0.6247931,56.98437,3.0786397,2.7627451,3.3793836,3.0401962,3.6206164,3.2627451,1.81131,2.7043586,0.7626112,,0.94806176,,245.34433,755.8777,,0.41311058,-0.6247931,1.4421146
4152,mulan,1719,371209.165778,2385248.42588,10.848193,6.2181816,0.83119786,0.6264451,58.284695,3.0855334,2.7417796,3.4033792,3.032882,3.654699,3.263056,1.8580651,2.8610833,0.72348523,,0.9641582,,242.37033,742.7669,,0.39719453,-0.6264451,1.4576429
4153,mulan,1720,371126.665778,2385244.42588,9.132421,5.7960525,0.8026138,0.6022431,53.46878,2.9664805,2.575025,3.3273742,2.9003022,3.396648,2.9627392,1.7625985,2.554837,0.7578108,,0.93099844,3922.447,243.29356,694.63794,,0.41118357,-0.6022431,1.4048569
4154,mulan,1721,371107.665778,2385240.92588,8.374439,5.0197268,0.78665394,0.55722326,50.865555,2.3158975,2.0442562,2.5138462,2.2259886,2.7579486,2.4500942,1.7107399,2.4085538,0.65993315,,0.91248363,3667.6897,239.60585,633.4241,,0.37029874,-0.55722326,1.3438772
4155,mulan,1722,371166.665778,2385240.42588,9.450673,6.035117,0.80862474,0.61432403,55.20604,2.9060833,2.6345582,3.272145,2.9751737,3.4055495,3.099305,1.782404,2.6140816,0.77007335,,0.93797255,4164.058,242.20798,716.4779,,0.41609195,-0.61432403,1.4229487
4156,mulan,1723,371218.665778,2385239.42588,10.9748745,5.865894,0.8329836,0.6246978,57.506042,2.971774,2.9048562,3.220766,3.1496532,3.3649194,3.2913775,1.8641298,2.8825176,0.7431349,,0.9662286,4298.67,238.4741,753.0224,,0.4052478,-0.6246978,1.4576814
4157,mulan,1726,371213.665778,2385231.92588,10.229665,5.6709886,0.8219003,0.61847085,56.31067,3.2152174,2.8472223,3.470652,3.080357,3.578261,3.1785715,1.8266354,2.7542448,0.71406674,,0.9533718,,240.95454,755.5933,,0.39329103,-0.61847085,1.4403712
4158,mulan,1729,371119.165778,2385230.92588,8.970046,5.1960487,0.79939914,0.5777102,52.584423,2.5798047,2.1641076,2.8762214,2.4261036,3.0575461,2.5863724,1.7520666,2.5241332,0.65753764,,0.9272687,,245.73845,666.644,,0.36925903,-0.5777102,1.3771094
4159,mulan,1730,371139.165778,2385220.92588,9.45283,5.0180182,0.80866426,0.59142345,53.835423,2.9124727,2.4752188,3.084245,2.627794,3.2647703,2.7881439,1.782517,2.6144793,0.7405083,,0.93801665,3940.793,243.32767,682.9862,,0.40417838,-0.59142345,1.4000877
4160,mulan,1731,371111.165778,2385215.42588,7.389899,4.6643257,0.7616181,0.55825347,49.081547,2.234197,2.0096433,2.4466321,2.2073288,2.6186528,2.367406,1.6314214,2.2060513,0.6007822,,0.883443,,250.58427,609.45044,,0.34405994,-0.55825347,1.3198715
4161,mulan,1732,371333.165778,2385213.42588,7.4917126,4.4787235,0.76447624,0.56914175,51.91126,2.5393817,2.1781557,2.8145564,2.4252462,2.9202392,2.5201433,1.6403894,2.2277253,0.6446973,,0.88676167,,275.47803,722.3716,,0.36365345,-0.56914175,1.333618
4162,mulan,1734,371140.665778,2385209.42588,8.549327,4.9312406,0.79056114,0.5756198,51.592823,2.8141305,2.4167478,3.0130434,2.5949366,3.126087,2.6962025,1.7233437,2.442991,0.6589034,,0.9170165,3754.8464,246.17361,680.81726,,0.36985207,-0.5756198,1.366181
4163,mulan,1735,371136.665778,2385202.42588,7.866667,4.856305,0.7744361,0.5759599,50.522682,2.6461704,2.3267717,2.9083064,2.565945,2.9838188,2.6348426,1.6717387,2.3060343,0.609963,73.79256,0.8983121,3740.7195,246.45963,669.86505,73.79256,0.3482107,-0.5759599,1.350396
4164,mulan,1736,371298.165778,2385198.92588,7.0852575,4.5814247,0.7526362,0.5670792,50.779243,2.403651,2.045372,2.7190669,2.3275862,2.8245437,2.42196,1.6035722,2.14009,0.6199297,100.39192,0.8730273,3969.6443,272.79062,679.14685,100.39192,0.3526839,-0.5670792,1.3197154
4165,mulan,1737,371126.165778,2385195.92588,7.881002,4.8260255,0.7748002,0.56088483,50.534557,2.6898096,2.1026366,3.0526316,2.4077213,3.0963047,2.4444444,1.6728927,2.3089828,0.6086135,,0.8987344,,249.62112,654.1393,,0.3476024,-0.56088483,1.335685
4166,mulan,1738,370941.665778,2385192.42588,7.7706614,5.1526165,0.771967,0.5667569,50.296482,2.0726202,2.010577,2.4062808,2.3375,2.6496565,2.5759616,1.6639248,2.2862036,0.64969873,,0.89544797,3707.3127,248.62738,649.27246,,0.36584345,-0.5667569,1.3387239
4167,mulan,1740,370975.665778,2385182.42588,9.777012,5.472834,0.8144198,0.5854613,55.762486,2.7059426,2.252698,2.960041,2.4757195,3.2018442,2.6879497,1.8016232,2.6736066,0.68664116,,0.9446947,,257.59824,707.2931,,0.38176197,-0.5854613,1.3998811
4168,mulan,1741,370938.665778,2385178.92588,7.3867188,5.23607,0.7615277,0.56734353,49.90186,2.2688284,1.9932951,2.6987448,2.3869731,2.9079497,2.5785441,1.6311505,2.2053714,0.64781183,,0.8833392,,235.37059,634.5082,,0.3650182,-0.56734353,1.3288713
4169,mulan,1742,370986.165778,2385178.92588,9.605791,5.660061,0.8114238,0.59977746,55.99412,2.7411883,2.4430027,2.9506545,2.635774,3.242699,2.9045413,1.7916759,2.642526,0.71640766,,0.9412199,4261.4014,257.6415,716.66656,,0.39426386,-0.59977746,1.4112012
4170,mulan,1743,370950.665778,2385178.42588,7.6293435,5.357143,0.76823264,0.5710594,51.362545,2.547644,2.1399443,2.964398,2.5088046,3.0806282,2.6116774,1.6521689,2.2567406,0.65937465,,0.891118,3914.602,241.42807,674.6095,,0.3700565,-0.5710594,1.339292
4171,mulan,1744,371001.165778,2385172.92588,9.338395,5.8075757,0.8065464,0.6069429,55.680916,2.9434555,2.5764482,3.2638743,2.8670466,3.4492147,3.0351377,1.7755524,2.5933187,0.6836216,165.42822,0.9355624,,255.96089,726.2956,165.42822,0.38047773,-0.6069429,1.4134892
4172,mulan,1746,370944.165778,2385171.42588,8.06917,5.349711,0.77947265,0.58347875,52.80316,2.6065748,2.1666667,3.0180275,2.527933,3.19088,2.679702,1.6877737,2.3473868,0.7123377,,0.90415674,4010.7659,252.1086,667.54846,,0.3925713,-0.58347875,1.3629514
4173,mulan,1749,370953.165778,2385164.42588,8.615385,5.4356008,0.792,0.5822833,53.861824,2.6273918,2.2925045,2.9466264,2.5822668,3.0664651,2.691042,1.7280258,2.4558878,0.7257832,241.73299,0.91868824,,258.04803,693.9163,241.73299,0.39814267,-0.5822833,1.3742833
