,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8
6888,water,10837,371160.697636,2384799.94396,0.08959999680519104,0.09709999710321426,0.09070000052452087,0.08590000122785568,0.06750000268220901,0.09390000253915787,0.07850000262260437,0.0364999994635582
6889,water,10838,371160.333833,2384798.4226,0.08879999816417694,0.09440000355243683,0.10000000149011612,0.08540000021457672,0.06830000132322311,0.12479999661445618,0.11789999902248383,0.10130000114440918
6890,water,10839,371160.30076,2384796.10749,0.08959999680519104,0.09619999676942825,0.0949999988079071,0.09839999675750732,0.0828000009059906,0.09610000252723694,0.07999999821186066,0.02449999935925007
6891,water,10840,371160.267687,2384794.22233,0.09189999848604202,0.10080000013113022,0.10639999806880951,0.10260000079870224,0.0820000022649765,0.07050000131130219,0.044199999421834946,0.0
6892,water,10841,371160.399979,2384793.06477,0.09120000153779984,0.09889999777078629,0.10499999672174454,0.10610000044107437,0.0835999995470047,0.03880000114440918,0.01860000006854534,0.0
6893,water,10842,371162.483577,2384792.93248,0.09189999848604202,0.10260000079870224,0.10570000112056732,0.11029999703168869,0.09009999781847,0.05460000038146973,0.0031999999191612005,0.0
6894,water,10843,371164.269518,2384808.576,0.08959999680519104,0.10260000079870224,0.10499999672174454,0.1120000034570694,0.09489999711513519,0.03280000016093254,0.0,0.0
6895,water,10845,371164.567175,2384810.6596,0.09269999712705612,0.10170000046491623,0.10790000110864639,0.1054999977350235,0.0917000025510788,0.03579999879002571,0.0,0.0
6896,water,10846,371166.28697,2384810.72575,0.08959999680519104,0.10170000046491623,0.10499999672174454,0.10790000110864639,0.0908999964594841,0.058400001376867294,0.03830000013113022,0.0
6897,water,10847,371166.353116,2384812.44554,0.09120000153779984,0.09799999743700027,0.10499999672174454,0.10490000247955322,0.0892999991774559,0.05310000106692314,0.039799999445676804,0.0
6898,water,10848,371164.467956,2384812.71013,0.09269999712705612,0.10440000146627426,0.10289999842643738,0.10670000314712524,0.0940999984741211,0.030500000342726707,0.0,0.0
