,CLASS_NAME,num,x,y,advanced1,advanced2,advanced5,advanced6,advanced9,advanced10,higher3,higher5,higher6,higher7,higher8,higher10,simple1,simple2,simple3,simple4,simple5,simple6
3894,mulan,1346,371362.1658,2385572.926,39.981995,20.63818,50.9156,4.7435126,-0.6922065,0.99076176,20.572289,0.000622877,1694.9187,0.000583676,1587.5535,2168.2952,0.006215422,7.691666,0.011315404,0.24304159,31.63712,-39.094944
3895,mulan,1347,371335.1658,2385572.426,37.36842,16.232687,36.554016,4.496491,-0.75113106,0.9921945,24.652695,0.000694838,1505.6257,0.000657838,1424.6605,2031.1107,0.006936718,7.537627,0.007758332,0.23151083,28.376732,97.50547
3896,mulan,1350,371171.1658,2385571.426,41.03878,35.882153,195.90471,4.905088,-0.72176474,0.9930931,18.164265,0.000603294,1826.536,0.000586568,1769.1211,2056.196,0.004308592,8.187933,0.002761323,0.13581361,64.65374,-23.860548
3897,mulan,1356,371136.4887,2385568.426,41.182827,32.87239,189.88693,4.8121576,-0.74232066,0.9927467,20.526012,0.000595942,1813.3757,0.000577093,1755.2247,2045.9797,0.00461169,8.095946,0.003680989,0.14181447,57.789474,-54.2019
3898,mulan,1359,371267.1658,2385566.926,38.585873,27.300798,219.37698,4.8015885,-0.64584297,0.99026483,17.486486,0.000656775,1641.0841,0.000617038,1546.7845,2111.3904,0.005286946,7.9218016,0.017092824,0.21140279,29.121883,324.52368
3899,mulan,1360,371657.3032,2385566.726,40.473682,19.260387,50,4.7474775,-0.73708206,0.99182326,21.845238,0.000599872,1745.6279,0.000567252,1653.4382,2185.235,0.006077301,7.685461,0.015472215,0.23268922,27.041552,70.48491
3900,mulan,1361,371289.1658,2385564.926,36.415512,21.071117,168.93102,4.1776876,-0.80550903,0.98887503,27.726707,0.000733749,1439.8354,0.000671813,1324.7843,2095.0278,0.010428097,7.0616984,0.016069725,0.25814238,27.872576,1199.2634
3901,mulan,1363,371356.1658,2385563.426,39.452908,21.028946,57.226585,4.785439,-0.67661905,0.9901969,21.256716,0.000640815,1647.0686,0.000605602,1552.8485,2067.4717,0.006054281,7.68144,0.017150754,0.23401883,26.889196,-3.9185224
3902,mulan,1366,371336.1658,2385562.926,37.02216,15.306988,62.04346,4.4008207,-0.7492086,0.99193317,26.845238,0.000711734,1465.1517,0.000678349,1396.3672,1999.7767,0.0074892,7.442002,0.004230398,0.229769,28.631578,81.32228
3903,mulan,1367,371106.1658,2385562.426,37.86842,11.621191,24.96399,4.275182,-0.7872603,0.99122775,29.055214,0.000670286,1536.4233,0.000618439,1425.6896,2121.2944,0.009131299,7.161971,0.006373862,0.25215584,21.520775,82.0729
3904,mulan,1368,371144.2533,2385560.838,41.580334,34.97208,94.81144,5.0059557,-0.70327365,0.9927858,18.954023,0.000582999,1856.9569,0.00056745,1803.9094,2069.1465,0.004312429,8.181662,0.002807169,0.13472374,63.07756,349.09537
3905,mulan,1369,371080.4358,2385560.338,36.270084,18.673592,313.02325,4.324065,-0.746419,0.99031764,24.964071,0.000733021,1440.8174,0.000691416,1365.6096,1873.2125,0.007865194,7.366943,0.02181941,0.2377956,22.130194,538.1054
3906,mulan,1370,371153.1658,2385561.426,41.923824,39.54683,176.12282,5.0184526,-0.6594142,0.99159336,16.988506,0.000578425,1905.5431,0.000562573,1852.9159,2116.0518,0.003986311,8.245605,0.003926599,0.12675166,66.81164,-28.35661
3907,mulan,1373,370838.6658,2385558.426,37.218838,29.691723,583.9169,4.50576,-0.6941056,0.9910094,18.118343,0.000707047,1533.1272,0.000672767,1463.3611,1916.071,0.004937808,7.9874887,0.015543135,0.20288207,31.977839,532.2042
3908,mulan,1374,371091.1658,2385558.426,36.157894,13.0470915,252.27864,4.190205,-0.77502996,0.99073136,26.37386,0.00074199,1402.079,0.000691141,1310.6765,1908.3313,0.008314086,7.247217,0.019804139,0.24103102,19.3518,122.15104
3909,mulan,1375,371021.1658,2385557.926,35.6759,9.91712,158.66177,3.9643345,-0.8020991,0.98867506,31.77914,0.00075301,1368.1012,0.000692604,1268.629,1863.2025,0.011563754,6.841836,0.017098887,0.27473587,16.470915,101.45986
3910,mulan,1383,371342.6658,2385555.426,37.778393,17.23898,88.17578,4.5899982,-0.7321428,0.99150693,24.640718,0.000688204,1517.6228,0.000649447,1430.6042,1955.461,0.006890678,7.576981,0.013434314,0.22847614,26.493074,106.19832
3911,mulan,1385,371281.1658,2385553.426,36.277008,13.588086,198.51561,4.090395,-0.77062446,0.9892004,28.17284,0.000735354,1411.7747,0.000678483,1300.906,2049.034,0.01043577,7.0977,0.013192068,0.25671777,22.304708,205.15244
