,CLASS_NAME,num,x,y,WV2_B2,WV2_B3,WV2_B4,WV2_B5,WV2_B6,RVI,GNDVI,MTVI2,MCARI,NDWI,advanced6,advanced7,advanced8,advanced9,higher3,higher5,higher7,higher8,simple2,simple3,simple4,simple5,simple7,OHS_B1,OHS_B13,OHS_B16,OHS_B32,dif_B2,dif_B3,dif_B9,dif_B16,dif_B22,dif_B29,OHS_MSR2
13,baigurang,3852,373168.7595,2381844.826,0.082400002,0.082800001,0.065200001,0.032099999,0.214599997,10.890965,0.61702126,0.6156868,1.0438519,-0.61702126,4.806484,2.4208088,19.324009,-0.59024435,22.389261,0.000501204,0.000459666,1776.5614,6.7882094,0.008044345,0.3350129,47.92521,185101.9,875,569,922,4108,-57,-110.5,-15.5,362.5,147.5,485,0.39251468
14,baigurang,3853,373145.7956,2381831.735,0.075999998,0.0836,0.061000001,0.037,0.193399996,9.308107,0.60934585,0.5767779,0.7027215,-0.60934585,4.982599,2.4765034,19.765556,-0.60676885,19.414715,0.000472732,0.000428385,1933.0327,7.1944366,0.008890985,0.3108657,50.282547,135329.14,914,733,912,1528,-76,-86.5,-54.5,253.5,28.5,-466.5,0.35972458
15,baigurang,3855,373147.7217,2381855.633,0.080600001,0.077100001,0.062799998,0.032900002,0.209999993,11.024315,0.64938605,0.61860955,0.9607657,-0.64938605,4.083361,2.190654,6.718173,-0.79823154,34.214287,0.000541508,0.0005135,1793.9838,6.7605643,0.01724466,0.25379673,18.742382,8495.6455,740,604,956,3418,36,-96.5,-24,433.5,8.5,-436.5,0.5547503
16,baigurang,3857,373128.8821,2381863.802,0.084299996,0.080700003,0.062799998,0.036200002,0.195700005,8.828729,0.59680235,0.54025024,0.7379296,-0.59680235,4.825516,2.3304794,9.919654,-0.66329926,22.911505,0.000480824,0.000461094,2087.6316,7.4923487,0.017745228,0.22001536,28.141273,28692.076,853,621,927,3344,-26.5,-59,-12,441,59.5,-322.5,0.5099554
17,baigurang,3858,373100.9757,2381895.725,0.0788,0.082099997,0.062199999,0.032900002,0.202500001,10.115501,0.60424197,0.5841908,0.8956778,-0.60424197,3.9766042,2.1770542,5.6254344,-0.79807824,33.484848,0.000549285,0.000511731,1735.2789,6.7227435,0.003400882,0.2739792,15.969529,1079.0955,894,610,1012,3942,-58.5,-69.5,-22,423.5,99,49.5,0.50557303
18,baigurang,3859,373107.9078,2381911.758,0.081500001,0.0814,0.064000003,0.032099999,0.227400005,12.392524,0.6602671,0.67933124,1.1766711,-0.6602671,3.9239926,2.1448588,4.8250723,-0.793452,34.80547,0.000572377,0.000532656,1661.6985,6.65791,0.006870078,0.2593069,14.351801,1084.0078,915,585,1019,3988,-63.5,-89,-29.5,465,79,196,0.537285
19,baigurang,3860,373117.8826,2381931.115,0.083400004,0.086400002,0.065200001,0.037799999,0.197999999,9.693122,0.6183745,0.607442,0.7222286,-0.6183745,3.735611,2.1260576,5.379818,-0.81615484,37.30721,0.000577488,0.000527149,1618.7756,6.311865,0.017751483,0.28080338,15.144044,7556.9277,963,585,999,4176,-121,-115,-52.5,489,133,431.5,0.5518592
20,baigurang,3861,373215.5344,2381846.673,0.083400004,0.082800001,0.069300003,0.0337,0.146699995,6.816024,0.47008,0.414764,0.43626922,-0.47008,5.1279707,2.3235364,12.639705,-0.5297041,16.797297,0.000418778,0.000369113,2188.0786,7.2958217,0.012142469,0.3247475,31.883657,86179.71,869,662,1005,4562,-2,-73,-16.5,395.5,175.5,667,0.5142075
21,baigurang,3862,373213.0539,2381836.156,0.0779,0.076399997,0.0581,0.031300001,0.188899994,10.888178,0.6337489,0.59696484,0.81534785,-0.6337489,4.9442687,2.230869,9.9198,-0.51199555,19.629139,0.000441782,0.000396739,2113.8677,7.101862,0.014622485,0.33510527,24.922438,90285.77,837,631,973,4431,25,-37,-18,430,168,668.5,0.5266284
22,baigurang,3863,373222.9758,2381841.216,0.076899998,0.075000003,0.056899998,0.031300001,0.205500007,10.536741,0.6294467,0.5779752,0.9723498,-0.6294467,4.6535697,2.1331165,5.363395,-0.5762054,23.736841,0.000456373,0.000404309,2036.8085,6.919602,0.021089777,0.3410595,14.426593,73975.22,944,585,935,4388,-42.5,-30.5,-34.5,475,183.5,481.5,0.47305393
