,CLASS_NAME,num,x,y,HH,HV,HH+HV,Entropy,Alpha,Anisotropy,HA,H(1-A)
40,baigurang,3885,373208.9189,2381772.256,-12.373331,-18.835554,-15.604443,0.6834776,19.404232,0.6368803,13.262358,-12.57888
41,baigurang,3886,373191.0992,2381763.168,-12.868144,-18.994095,-15.93112,0.6854275,17.281197,0.6350815,11.845007,-11.159579
42,baigurang,3887,373210.6046,2381787.585,-11.755641,-17.988367,-14.872004,0.68341815,19.538332,0.63693494,13.352851,-12.669433
43,baigurang,3888,373223.0929,2381794.728,-11.058271,-17.805527,-14.431899,0.67136544,18.467255,0.64789444,12.398276,-11.726912
44,baigurang,3889,373224.5217,2381780.758,-12.20566,-16.61589,-14.410775,0.6847486,19.499865,0.63570863,13.352505,-12.667756
45,baigurang,3893,373252.5676,2381811.027,-11.4373665,-18.934492,-15.185929,0.69225585,18.35377,0.6287248,12.705504,-12.013248
46,baigurang,3894,373248.5988,2381797.057,-11.614263,-18.968592,-15.291428,0.66990316,17.715502,0.649206,11.867671,-11.197767
47,baigurang,3896,373389.4588,2381994.342,-10.9122925,-22.819954,-16.866123,0.43405712,11.232159,0.8214429,4.8753986,-4.4413414
48,baigurang,3897,373384.0679,2381985.114,-11.339213,-21.890207,-16.61471,0.46134165,12.222824,0.8047998,5.638898,-5.177556
49,baigurang,3898,373392.4738,2381978.584,-12.077987,-21.326462,-16.702225,0.5021725,14.676835,0.77850103,7.370303,-6.8681307
50,baigurang,3899,373402.4609,2381979.22,-15.290066,-22.422306,-18.856186,0.5459606,14.827598,0.74828947,8.095284,-7.5493236
51,baigurang,3900,373396.0426,2381968.165,-12.771227,-19.985037,-16.378132,0.59782094,15.809401,0.70950294,9.451191,-8.85337
52,baigurang,3901,373387.0602,2381959.676,-11.7147455,-19.062206,-15.388475,0.61802423,16.797834,0.69341063,10.381469,-9.763445
53,baigurang,3902,373402.0727,2381937.176,-13.159885,-21.425476,-17.29268,0.73931545,20.078852,0.58226186,14.844605,-14.105289
54,baigurang,3904,373380.9859,2381942.661,-13.793657,-19.18927,-16.491463,0.76711684,22.024143,0.5523207,16.895092,-16.127974
55,baigurang,3905,373409.0539,2381920.194,-15.24175,-20.425325,-17.833538,0.7909099,24.970768,0.5249384,19.749628,-18.958717
56,baigurang,3906,373170.4446,2381785.177,-10.950085,-20.25558,-15.602833,0.680994,17.990795,0.63916093,12.251623,-11.570629
57,baigurang,3907,373214.482,2381727.608,-12.263897,-19.387693,-15.825795,0.7260533,20.650845,0.5958555,14.993614,-14.267561
58,baigurang,3909,373233.0147,2381714.716,-13.423399,-19.63794,-16.53067,0.7688009,22.468325,0.55043906,17.273668,-16.504868
59,baigurang,3910,373228.4374,2381699.686,-11.764228,-20.014294,-15.889261,0.6736065,19.606264,0.6458768,13.206907,-12.5333
60,baigurang,3911,373250.4244,2381697.153,-13.059974,-20.537392,-16.798683,0.7240298,22.124395,0.5978933,16.01872,-15.294691
61,baigurang,3914,373242.5115,2381675.185,-11.781573,-22.431692,-17.106632,0.5587622,15.791865,0.7390334,8.823897,-8.265135
62,baigurang,3916,373258.7834,2381654.68,-13.009427,-20.32694,-16.668184,0.6343403,20.333797,0.6799743,12.898547,-12.264207
63,baigurang,3917,373273.1371,2381642.708,-13.491794,-20.9865,-17.239147,0.6729675,20.65705,0.646453,13.901523,-13.228555
64,baigurang,3920,373284.2805,2381656.755,-14.889681,-19.611042,-17.250362,0.6724737,21.386145,0.6468978,14.38162,-13.7091465
65,baigurang,3921,373334.816,2381638.234,-11.751717,-19.041777,-15.396747,0.6500587,18.067745,0.66663545,11.745094,-11.0950365
66,baigurang,3922,373342.489,2381621.83,-11.017751,-19.113976,-15.065863,0.61231965,16.688526,0.6980141,10.218713,-9.606393
67,baigurang,3924,373359.0255,2381624.872,-11.233645,-18.156208,-14.694927,0.5990297,16.953857,0.7085564,10.155865,-9.556835
68,baigurang,3925,373352.94,2381643.79,-10.526978,-17.47244,-13.999709,0.63840014,18.048061,0.6765671,11.521885,-10.883485
69,baigurang,3926,373311.6649,2381561.108,-13.090667,-18.823694,-15.95718,0.67488194,16.592562,0.64472455,11.19802,-10.523138
70,baigurang,3927,373274.7555,2381597.62,-12.94003,-18.79758,-15.868805,0.79707885,25.253927,0.51754105,20.129372,-19.332293
71,baigurang,3928,373330.8826,2381662.576,-12.447229,-18.312496,-15.379863,0.7446377,22.113209,0.57668644,16.46633,-15.721692
72,baigurang,3929,373389.4852,2381563.478,-13.027389,-17.467056,-15.247223,0.7761514,25.355057,0.54212856,19.679363,-18.903212
73,baigurang,3930,373410.2286,2381554.588,-11.811916,-17.413685,-14.612801,0.77639335,22.75564,0.5418523,17.667328,-16.890934
