,CLASS_NAME,num,x,y,RVI,GNDVI,RDVI,CIg2,MSR2,MSAVI,MCARI1,MCARI2,CMRI
320,baigurang,4257,373909.6071,2381360.079,5.28152,0.47658136,41.10597,1.3763838,0.5621965,,502.2726,,1.158187
321,baigurang,4258,373910.7183,2381339.759,6.3847694,0.49332082,44.263824,1.4828862,0.5164102,3104.5718,513.93414,,1.2224932
322,baigurang,4259,373952.9459,2381408.974,4.3046355,0.3974738,35.262596,1.0686886,0.3914335,,405.0245,,1.0204451
323,baigurang,4261,373956.9147,2381476.76,4.4605265,0.4026377,36.515453,0.96363634,0.5015902,,426.81805,,1.0363727
324,baigurang,4262,373965.9634,2381504.065,3.6454413,0.3738751,32.264404,0.8780488,0.4140906,2459.3647,364.80887,35.207596,0.9433455
325,baigurang,4263,373988.3472,2381501.843,4.8871527,0.412798,38.449455,1.0905983,0.5090532,,460.81656,,1.0730752
326,baigurang,4264,374002.7935,2381520.734,5.3357663,0.4414592,40.32335,1.1862313,0.5156014,,471.2639,,1.125791
327,baigurang,4265,374017.3985,2381595.505,3.3858922,0.34950384,30.633102,0.6838983,0.33731887,,318.47766,,0.8934963
328,baigurang,4268,374092.0112,2381551.055,5.780899,0.47880238,42.426437,1.4402573,0.5895546,,524.91705,,1.1838562
329,baigurang,4269,374082.0099,2381524.544,5.432188,0.47544205,41.096172,1.3773408,0.5242117,,489.38037,,1.1645058
330,baigurang,4271,374114.0775,2381548.833,6.0849056,0.49064016,43.979855,1.4473684,0.5794347,,554.7974,,1.20835
331,baigurang,4274,374104.5525,2381484.38,5.7313166,0.49362394,43.231487,1.4111722,0.5606855,3180.607,536.0352,62.20443,1.1965052
332,baigurang,4275,374124.0788,2381496.604,5.3366833,0.48635408,42.093388,1.4305177,0.5382453,3103.384,525.07983,,1.1707315
333,baigurang,4276,374143.7638,2381539.784,5.6815743,0.4886337,42.82116,1.5976169,0.53185225,,550.8798,,1.189303
334,baigurang,4277,373993.9564,2381389.791,4.6885815,0.43538135,37.18102,1.2542214,0.46308762,2660.3577,446.7912,45.719982,1.0837998
335,baigurang,4279,373790.293,2380444.455,6.302564,0.5333749,47.459827,1.7584671,0.55662733,,621.70264,,1.2594985
336,baigurang,4280,373821.3816,2380480.505,6.305648,0.54308945,48.162308,1.8585409,0.57164454,3722.4172,638.17737,,1.2693286
337,baigurang,4281,373819.0665,2380530.776,5.8492064,0.5287285,46.507267,1.6910211,0.5767313,,621.59973,,1.2367239
338,baigurang,4282,373904.064,2380543.344,6.00313,0.5362435,47.791,1.8367876,0.5451835,,647.84015,253.78844,1.2506568
339,baigurang,4283,373947.0589,2380462.976,5.627258,0.49357158,44.35733,1.7383821,0.54695576,,624.74756,,1.1917876
340,baigurang,4284,374003.6137,2380537.39,6.0381284,0.5088783,45.61719,1.6569664,0.5251957,,601.6848,,1.2247119
341,baigurang,4285,373991.3767,2380562.857,5.785835,0.49401262,44.738705,1.5895009,0.57604676,3355.3145,589.9989,,1.199281
342,baigurang,4287,374005.2674,2380749.388,4.854369,0.44473875,39.60112,1.3980919,0.50961554,2942.017,537.4392,43.729588,1.1031135
343,baigurang,4288,373951.6891,2380788.084,5.8383837,0.5029252,45.093796,1.6259809,0.57471544,,583.1956,,1.2104585
344,baigurang,4290,374194.4448,2380955.764,6.1045294,0.50936896,45.882175,1.5733099,0.51104033,3440.9055,579.9454,,1.2278584
345,baigurang,4291,374083.0153,2380871.242,6.281416,0.52383,46.52289,1.5978359,0.55294526,,572.8179,,1.2491581
346,baigurang,4295,374060.314,2380773.77,5.107084,0.46226415,40.945953,1.372807,0.525866,3016.2964,520.1883,,1.1347756
347,baigurang,4296,374118.2579,2380771.23,6.0723906,0.5287137,46.486065,1.7949641,0.57671076,,601.59973,,1.2459239
348,baigurang,4297,374075.3953,2380684.076,5.926916,0.48008013,44.339077,1.3827055,0.5442052,,560.30115,,1.1913514
349,baigurang,4298,374113.6542,2380653.754,5.7130127,0.48586,43.084522,1.4995492,0.47882974,,543.12054,,1.1879312
350,baigurang,4300,374263.9086,2380845.132,5.2540717,0.49144706,42.15097,1.5118182,0.58868927,3191.3113,547.5252,69.451866,1.1716554
351,baigurang,4301,374279.2544,2380862.065,5.4809027,0.47972813,42.243416,1.4882883,0.6008112,3101.1772,558.6788,,1.1711291
352,baigurang,4302,374236.2596,2380929.666,5.6286173,0.5025751,44.83684,1.5729077,0.58089113,,599.3919,441.36557,1.2008531
353,baigurang,4303,374412.8693,2381056.7,5.345719,0.49087632,42.920673,1.5982301,0.5991182,3255.6646,574.51495,,1.1757032
