,CLASS_NAME,num,x,y,HH,HV,HH-HV,HH+HV,HH/HV
53,baigurang,3902,373402.0727,2381937.176,-13.159885,-21.425476,8.265591,-17.29268,0.6142167
54,baigurang,3904,373380.9859,2381942.661,-13.793657,-19.18927,5.3956127,-16.491463,0.71882135
55,baigurang,3905,373409.0539,2381920.194,-15.24175,-20.425325,5.1835756,-17.833538,0.7462182
56,baigurang,3906,373170.4446,2381785.177,-10.950085,-20.25558,9.305496,-15.602833,0.54059595
57,baigurang,3907,373214.482,2381727.608,-12.263897,-19.387693,7.1237965,-15.825795,0.6325609
58,baigurang,3909,373233.0147,2381714.716,-13.423399,-19.63794,6.2145405,-16.53067,0.68354416
59,baigurang,3910,373228.4374,2381699.686,-11.764228,-20.014294,8.250066,-15.889261,0.5877913
60,baigurang,3911,373250.4244,2381697.153,-13.059974,-20.537392,7.477418,-16.798683,0.635912
61,baigurang,3914,373242.5115,2381675.185,-11.781573,-22.431692,10.650119,-17.106632,0.52522
62,baigurang,3916,373258.7834,2381654.68,-13.009427,-20.32694,7.3175135,-16.668184,0.6400091
63,baigurang,3917,373273.1371,2381642.708,-13.491794,-20.9865,7.494706,-17.239147,0.64287966
64,baigurang,3920,373284.2805,2381656.755,-14.889681,-19.611042,4.721361,-17.250362,0.75924987
65,baigurang,3921,373334.816,2381638.234,-11.751717,-19.041777,7.29006,-15.396747,0.6171544
66,baigurang,3922,373342.489,2381621.83,-11.017751,-19.113976,8.096225,-15.065863,0.5764238
67,baigurang,3924,373359.0255,2381624.872,-11.233645,-18.156208,6.9225626,-14.694927,0.618722
68,baigurang,3925,373352.94,2381643.79,-10.526978,-17.47244,6.945463,-13.999709,0.60249037
69,baigurang,3926,373311.6649,2381561.108,-13.090667,-18.823694,5.7330275,-15.95718,0.6954356
70,baigurang,3927,373274.7555,2381597.62,-12.94003,-18.79758,5.8575506,-15.868805,0.68838805
71,baigurang,3928,373330.8826,2381662.576,-12.447229,-18.312496,5.865267,-15.379863,0.67971236
72,baigurang,3929,373389.4852,2381563.478,-13.027389,-17.467056,4.4396677,-15.247223,0.74582624
73,baigurang,3930,373410.2286,2381554.588,-11.811916,-17.413685,5.6017685,-14.612801,0.6783123
74,baigurang,3931,373393.1894,2381535.75,-12.402135,-20.387838,7.9857035,-16.394987,0.60831046
75,baigurang,3932,373373.5044,2381519.981,-11.3547945,-19.225456,7.8706617,-15.290125,0.5906125
76,baigurang,3933,373428.8553,2381537.02,-10.180722,-17.809532,7.62881,-13.995127,0.57164454
77,baigurang,3934,373439.0153,2381594.699,-9.768098,-18.496399,8.728301,-14.132248,0.52810806
78,baigurang,3935,373440.9203,2381622.216,-10.9438505,-16.288044,5.3441935,-13.615948,0.6718947
79,baigurang,3936,373452.8795,2381675.344,-10.712535,-18.970627,8.258092,-14.841581,0.5646906
80,baigurang,3937,373474.1521,2381654.284,-11.229389,-18.71318,7.4837914,-14.971285,0.6000791
81,baigurang,3938,373495.4246,2381680.954,-9.862538,-19.37706,9.514522,-14.619799,0.5089801
82,baigurang,3939,373439.5445,2381726.039,-12.378059,-18.51733,6.139271,-15.447695,0.6684581
83,baigurang,3940,373425.4686,2381763.504,-11.488648,-18.702364,7.2137156,-15.095507,0.61428857
84,baigurang,3941,373449.7045,2381776.839,-12.622734,-20.153664,7.5309296,-16.388199,0.62632453
85,baigurang,3943,373481.2429,2381745.406,-12.447128,-19.535034,7.087906,-15.991081,0.63716954
86,baigurang,3944,373507.1721,2381764.562,-10.312395,-20.069391,9.756996,-15.190893,0.513837
87,baigurang,3946,373510.6646,2381733.976,-10.804078,-18.440992,7.6369143,-14.622536,0.58587295
88,baigurang,3949,373412.2968,2381462.705,-11.945661,-17.537058,5.5913973,-14.74136,0.68116677
89,baigurang,3950,373422.4568,2381475.564,-12.483567,-20.46731,7.9837427,-16.47544,0.6099271
